date,capacity,turnover,open,high,low,close,change,transaction
2018-01-02,3613199,298033251,82.15,82.6,82.15,82.6,0.45,1795
2018-01-03,7196437,599476413,82.95,83.45,82.95,83.35,0.75,3014
2018-01-04,5627565,469312820,83.5,83.65,83.2,83.5,0.15,2278
2018-01-05,7616796,636768692,83.5,83.8,83.3,83.75,0.25,2562
2018-01-08,5189611,435775639,83.8,84.15,83.7,84.1,0.35,2282
2018-01-09,3664716,308057554,84.1,84.25,83.9,84.15,0.05,1340
2018-01-10,5749597,482358793,84.1,84.25,83.55,83.75,-0.4,1073
2018-01-11,2579225,214867793,83.65,83.7,83.1,83.4,-0.35,735
2018-01-12,2871193,241214778,83.55,84.2,83.5,84.1,0.7,1002
2018-01-15,2819852,238493616,84.55,84.7,84.4,84.65,0.55,1126
2018-01-16,3955841,335496385,84.65,85.0,84.5,85.0,0.35,1295
2018-01-17,5698268,485174071,84.65,85.45,84.65,85.15,0.15,2017
2018-01-18,6898803,594091024,85.5,86.55,85.5,86.3,1.15,2272
2018-01-19,5302072,461040360,86.35,87.15,86.35,87.15,0.85,1445
2018-01-22,4441061,389066253,87.15,87.95,87.15,87.95,0.8,1746
2018-01-23,5799932,511405502,88.05,88.4,87.9,88.3,0.35,1842
2018-01-24,5103429,444907065,88.0,88.0,86.85,87.2,-1.1,1869
2018-01-25,4983684,436967956,87.25,88.3,87.15,87.45,0.25,1652
2018-01-26,7774673,678481509,87.45,87.6,86.85,87.5,0.05,3087
2018-01-29,6445797,551350942,85.5,86.15,85.2,85.55,0.0,3453
2018-01-30,4966261,421572779,85.2,85.35,84.5,84.55,-1.0,2337
2018-01-31,4251739,359040915,84.4,85.0,84.15,84.65,0.1,1176
2018-02-01,2914539,248420810,84.75,85.5,84.75,85.25,0.6,897
2018-02-02,3081592,261095295,84.85,85.15,84.35,84.9,-0.35,880
2018-02-05,7075902,588994369,83.2,83.75,82.9,83.6,-1.3,2875
2018-02-06,32222595,2574016957,80.85,81.1,78.8,79.65,-3.95,11372
2018-02-07,10181907,825539952,81.35,81.4,80.6,80.65,1.0,5189
2018-02-08,4514691,363476832,80.65,80.95,80.3,80.6,-0.05,1972
2018-02-09,16211237,1271812204,78.6,79.2,78.0,79.05,-1.55,6760
2018-02-12,8443795,672977850,79.55,79.9,79.4,79.7,0.65,3828
2018-02-21,11646085,948993971,81.4,81.7,81.1,81.5,1.8,4541
2018-02-22,3749910,303821917,81.5,81.5,80.75,81.0,-0.5,1744
2018-02-23,3779316,309207057,81.4,82.1,81.4,82.0,1.0,1793
2018-02-26,3289207,271560439,82.55,82.8,82.35,82.4,0.4,1380
2018-02-27,7663746,634417022,83.1,83.2,82.35,82.35,-0.05,2037
2018-03-01,4344220,354595798,81.55,81.95,81.15,81.75,-0.6,2554
2018-03-02,6262361,505982082,80.85,81.2,80.45,81.15,-0.6,2846
2018-03-05,3723757,301898098,81.1,81.5,80.65,80.75,-0.4,1223
2018-03-06,5732204,469203518,81.65,82.15,81.6,82.15,1.4,1756
2018-03-07,2619161,214899152,81.75,82.45,81.7,81.8,-0.35,1029
2018-03-08,3232583,266947148,82.15,82.8,82.15,82.75,0.95,1396
2018-03-09,2832064,234740002,82.9,83.0,82.7,82.85,0.1,986
2018-03-12,8752324,735446031,83.6,84.25,83.55,84.15,1.3,2942
2018-03-13,9837435,831704291,84.35,84.95,84.3,84.95,0.8,3126
2018-03-14,3415928,287869559,84.35,84.45,84.0,84.3,-0.65,1373
2018-03-15,3506898,295014773,84.0,84.3,83.9,84.25,-0.05,1533
2018-03-16,5510671,460021500,84.0,84.2,83.1,83.9,-0.35,1652
2018-03-19,2035534,170676406,83.65,84.1,83.45,83.85,-0.05,892
2018-03-20,2895350,241726053,83.2,83.8,83.2,83.8,-0.05,1019
2018-03-21,4891527,410076823,83.8,84.1,83.6,83.85,0.05,2337
2018-03-22,3429925,288139929,84.0,84.6,83.45,83.55,-0.3,1608
2018-03-23,8259738,677767488,81.85,82.4,81.8,82.1,-1.45,2816
2018-03-26,4369122,357831903,81.85,82.2,81.6,82.2,0.1,1837
2018-03-27,3277568,272571549,83.0,83.4,82.95,83.4,1.2,1015
2018-03-28,4161192,343127725,82.9,82.9,82.2,82.25,-1.15,1306
2018-03-29,4099855,336213829,82.25,82.35,81.8,82.1,-0.15,1127
2018-03-30,4994090,414075827,82.65,83.05,82.65,82.85,0.75,1285
2018-03-31,878295,72801339,82.85,83.05,82.75,82.95,0.1,495
2018-04-02,3737299,307813730,82.85,82.95,82.15,82.25,-0.7,1099
2018-04-03,6187523,503435586,81.5,81.55,81.2,81.5,-0.75,2624
2018-04-09,3401430,278923482,82.15,82.3,81.6,82.2,0.7,1167
2018-04-10,3860497,318719411,82.1,82.85,81.75,82.5,0.3,1039
2018-04-11,2603653,215930349,82.9,83.1,82.75,82.85,0.35,1252
2018-04-12,3591573,296423097,83.05,83.15,82.25,82.5,-0.35,1267
2018-04-13,2982732,246303554,82.7,82.8,82.3,82.5,0.0,792
2018-04-16,1809198,148796053,82.65,82.65,82.0,82.3,-0.2,761
2018-04-17,4325040,352876030,82.4,82.4,81.35,81.4,-0.9,2223
2018-04-18,3739837,305624331,81.6,82.1,81.35,81.6,0.2,1306
2018-04-19,4461269,367816687,81.9,82.65,81.9,82.65,1.05,1200
2018-04-20,9017715,728325834,81.0,81.1,80.5,80.75,-1.9,3705
2018-04-23,10624780,850769704,80.25,80.45,79.9,79.95,-0.8,5274
2018-04-24,16867787,1341875510,79.9,79.95,79.05,79.55,-0.4,6924
2018-04-25,16460997,1301833349,79.25,79.3,78.8,79.3,-0.25,7679
2018-04-26,16485778,1305124761,79.7,79.7,78.8,79.05,-0.25,6863
2018-04-27,12395611,979827894,79.6,79.65,78.8,79.2,0.15,4730
2018-04-30,6516983,519421423,79.65,80.15,79.05,80.0,0.8,2677
2018-05-02,5513498,439622305,80.05,80.15,79.4,79.4,-0.6,2584
2018-05-03,8823434,694073004,79.05,79.05,78.35,78.55,-0.85,4248
2018-05-04,3475423,273248775,78.55,79.0,78.4,78.95,0.4,1860
2018-05-07,3858382,305849245,79.5,79.55,78.8,79.5,0.55,1752
2018-05-08,5352116,427504370,79.4,80.05,79.35,80.0,0.5,2272
2018-05-09,3359022,270071272,80.0,80.55,80.0,80.45,0.45,1914
2018-05-10,5977304,481662488,80.7,80.7,80.45,80.65,0.2,3239
2018-05-11,17654297,1436892102,81.1,81.7,81.05,81.6,0.95,6364
2018-05-14,17197686,1414607650,82.0,82.6,81.9,82.5,0.9,6171
2018-05-15,7222482,592065703,82.35,82.4,81.65,81.65,-0.85,2449
2018-05-16,8293601,677320569,81.45,81.8,81.4,81.75,0.1,2922
2018-05-17,1940778,158110701,81.95,82.0,81.2,81.2,-0.55,1009
2018-05-18,2360712,191353462,81.2,81.5,80.85,80.95,-0.25,1051
2018-05-21,3889661,318673185,81.2,82.1,81.2,82.05,1.1,1717
2018-05-22,1837449,150711615,81.8,82.3,81.75,81.75,-0.3,834
2018-05-23,2124373,173329337,81.9,82.0,81.3,81.35,-0.4,663
2018-05-24,1135324,92525577,81.35,81.7,81.25,81.55,0.2,460
2018-05-25,3115748,254971743,81.55,82.05,81.4,81.85,0.3,1454
2018-05-28,2940383,241485608,82.05,82.25,82.0,82.2,0.35,1601
2018-05-29,1388540,113427981,82.2,82.2,81.5,81.85,-0.35,580
2018-05-30,6177819,497863690,81.4,81.4,80.3,80.4,-1.45,3017
2018-05-31,1605922,129628697,80.8,80.95,80.55,80.75,0.35,733
2018-06-01,1848694,150141515,80.8,81.45,80.8,81.35,0.6,818
2018-06-04,7081064,583108366,81.8,82.6,81.8,82.6,1.25,2675
2018-06-05,2695921,222338374,82.7,82.7,82.25,82.5,-0.1,1361
2018-06-06,6398322,531456226,82.65,83.35,82.65,83.3,0.8,2988
2018-06-07,6704318,557849318,83.5,83.6,83.0,83.45,0.15,1499
2018-06-08,3469539,287811322,83.3,83.3,82.5,82.55,-0.9,980
2018-06-11,3264375,269605262,82.8,82.95,82.4,82.65,0.1,838
2018-06-12,2243224,184469445,82.25,82.5,81.95,82.5,-0.15,697
2018-06-13,4668145,386299235,82.45,83.1,82.35,83.0,0.5,1475
2018-06-14,3564268,292513426,82.5,82.55,81.75,81.75,-1.25,1517
2018-06-15,3862122,314683389,81.6,81.95,81.2,81.95,0.2,1377
2018-06-19,4994238,403588078,81.1,81.2,80.6,80.6,-1.35,2728
2018-06-20,7866995,637796526,80.65,81.7,80.3,81.5,0.9,4099
2018-06-21,2134851,173683734,81.5,81.6,81.2,81.25,-0.25,1305
2018-06-22,6482461,523157693,80.8,81.2,80.35,81.15,-0.1,2708
2018-06-25,7993181,646507087,80.85,81.05,80.7,80.9,-0.25,3482
2018-06-26,16434141,1320542535,80.7,80.7,80.0,80.7,-0.2,7473
2018-06-27,8308049,668958497,80.75,80.9,80.3,80.4,-0.3,3764
2018-06-28,12064020,965311034,80.05,80.4,79.8,80.05,-0.35,4165
2018-06-29,6584213,532141516,80.3,81.55,80.2,81.45,1.4,3155
2018-07-02,4175628,340342167,81.5,81.9,81.0,81.05,-0.4,1476
2018-07-03,5023687,407797091,81.3,81.95,80.6,81.15,0.1,1445
2018-07-04,1746449,142005065,81.15,81.6,81.1,81.4,0.25,720
2018-07-05,3119082,252501708,81.45,81.45,80.6,80.75,-0.65,1163
2018-07-06,5351492,431770914,81.1,81.15,80.2,80.95,0.2,1679
2018-07-09,9040778,742124242,81.75,82.45,81.55,82.25,1.3,2919
2018-07-10,4913802,405509024,82.65,82.8,82.35,82.45,0.2,2340
2018-07-11,3899069,317877992,81.7,81.9,81.3,81.7,-0.75,1081
2018-07-12,6882846,567290801,81.6,82.65,81.5,82.65,0.95,2051
2018-07-13,13661779,1135575906,83.0,83.4,82.8,83.35,0.7,4818
2018-07-16,5332432,443588641,83.3,83.45,83.0,83.0,-0.35,1945
2018-07-17,2992751,247259857,82.85,82.85,82.4,82.55,-0.45,949
2018-07-18,13174455,1096705424,83.15,83.5,82.95,83.05,0.5,6528
2018-07-19,13217661,1104868177,83.1,83.8,83.05,83.3,0.25,3471
2018-07-20,18403370,1554789461,84.0,84.7,84.0,84.65,1.35,5400
2018-07-23,8504472,717700336,84.3,84.75,83.85,84.55,0.0,2543
2018-07-24,5116814,432638596,84.45,84.7,84.15,84.7,0.15,2053
2018-07-25,6352201,538152149,84.05,84.85,84.05,84.75,0.05,1862
2018-07-26,8471170,720308687,84.75,85.25,84.75,85.0,0.25,2884
2018-07-27,5947118,508730875,85.1,85.75,85.1,85.7,0.7,1942
2018-07-30,3230410,276780248,85.65,85.9,85.4,85.55,-0.15,1179
2018-07-31,2739663,234041326,85.35,85.7,85.05,85.55,0.0,1056
2018-08-01,4012507,345034802,85.8,86.2,85.8,86.15,0.6,1507
2018-08-02,4774950,408144300,86.1,86.15,84.85,84.85,-1.3,1255
2018-08-03,1225166,104806018,85.4,85.7,85.35,85.55,0.7,661
2018-08-06,2424671,208061157,85.55,86.1,85.35,85.7,0.15,1169
2018-08-07,1199281,102654664,85.7,85.8,85.4,85.5,-0.2,893
2018-08-08,4074984,351307291,85.8,86.4,85.8,86.15,0.65,1274
2018-08-09,1631789,140409677,86.1,86.25,85.7,86.15,0.0,860
2018-08-10,1279917,109887403,85.7,86.15,85.65,85.7,-0.45,717
2018-08-13,7284934,613593198,85.05,85.05,83.65,83.95,-1.75,3154
2018-08-14,2243205,189202665,84.4,84.6,84.05,84.55,0.6,1082
2018-08-15,4279671,358442697,84.5,84.5,83.45,83.75,-0.8,2778
2018-08-16,4532542,378662628,83.25,84.1,83.05,83.8,0.05,1957
2018-08-17,4640039,388914326,83.95,84.15,83.6,83.65,-0.15,1655
2018-08-20,3147996,264000882,83.9,84.1,83.7,83.95,0.3,1466
2018-08-21,5023058,423888290,83.9,84.65,83.9,84.55,0.6,1700
2018-08-22,3545768,300217040,84.7,84.85,84.35,84.65,0.1,1156
2018-08-23,3869236,328564580,84.8,85.2,84.6,85.05,0.4,903
2018-08-24,2549174,216059090,85.0,85.1,84.45,84.8,-0.25,810
2018-08-27,5025454,428795783,85.0,85.55,85.0,85.55,0.75,1853
2018-08-28,8288078,714613443,85.95,86.4,85.95,86.25,0.7,2833
2018-08-29,13383846,1164633494,86.45,87.35,86.45,87.25,1.0,4145
2018-08-30,9894177,869371023,87.8,88.35,87.45,87.55,0.3,3515
2018-08-31,4245610,368332289,87.0,87.0,86.45,86.95,-0.6,2097
2018-09-03,3670077,318489642,86.95,87.2,86.4,86.45,-0.5,1852
2018-09-04,2357725,204511025,86.8,87.0,86.45,87.0,0.55,1553
2018-09-05,2496308,217228848,87.0,87.3,86.7,87.0,0.0,1053
2018-09-06,1945889,168384874,86.9,86.9,86.2,86.5,-0.5,1168
2018-09-07,2505908,216029254,86.2,86.45,86.0,86.4,-0.1,1256
2018-09-10,5319281,457230691,86.6,86.6,85.65,86.0,-0.4,2224
2018-09-11,19525404,1672322444,85.95,86.0,85.4,85.65,-0.35,7801
2018-09-12,18583973,1588075828,85.85,85.9,85.25,85.55,-0.1,7809
2018-09-13,20996200,1789506288,85.8,85.8,84.9,84.95,-0.6,9849
2018-09-14,8616375,741763887,85.75,86.5,85.6,86.5,1.55,3095
2018-09-17,8988960,773023506,86.5,86.5,85.7,85.85,-0.65,2440
2018-09-18,6140571,524809750,85.6,85.7,85.2,85.4,-0.45,2243
2018-09-19,6881627,591822766,85.8,86.3,85.7,86.15,0.75,3226
2018-09-20,4159776,357894112,86.45,86.55,85.8,85.9,-0.25,1030
2018-09-21,7370439,636825668,86.25,86.85,85.9,86.85,0.95,2626
2018-09-25,7506252,652734924,86.65,87.15,86.6,87.1,0.25,2984
2018-09-26,8036503,698254201,86.9,87.0,86.75,86.9,-0.2,2692
2018-09-27,27800036,2423747411,86.6,87.45,86.6,87.35,0.45,8114
2018-09-28,13202371,1151404227,87.35,87.65,86.6,86.9,-0.45,4328
2018-10-01,5914234,516131207,86.9,87.4,86.9,87.35,0.45,2729
2018-10-02,5434332,469382289,87.25,87.25,86.0,86.05,-1.3,2466
2018-10-03,4369690,375778640,86.05,86.3,85.8,85.95,-0.1,1554
2018-10-04,9736968,827292110,85.7,85.7,84.8,84.9,-1.05,4230
2018-10-05,26744096,2239942717,84.5,84.5,83.0,83.45,-1.45,11367
2018-10-08,46523204,3855479629,82.95,83.4,82.5,83.0,-0.45,16777
2018-10-09,20530897,1706528887,83.05,83.4,82.8,83.25,0.25,9093
2018-10-11,68551624,5389808235,80.15,80.15,77.35,77.4,-5.85,29625
2018-10-12,23183282,1825995175,77.7,80.05,77.5,80.05,2.65,11298
2018-10-15,49299658,3886740002,79.5,79.5,78.65,79.2,-0.85,12199
2018-10-16,16686645,1319117765,79.0,79.5,78.6,79.3,0.1,6313
2018-10-17,20309037,1623444090,80.45,80.5,79.35,79.4,0.1,8082
2018-10-18,7988282,633217825,79.5,79.75,78.95,79.15,-0.25,3397
2018-10-19,12064036,948108881,78.2,79.3,78.0,79.3,0.15,3531
2018-10-22,12453453,979040928,78.35,79.55,78.0,79.2,-0.1,3464
2018-10-23,24898392,1943501426,78.1,78.6,77.7,77.75,-1.45,8141
2018-10-24,13002500,1004568676,77.8,77.95,76.7,77.4,-0.35,5533
2018-10-25,28935886,2190854586,75.5,76.2,75.3,75.5,-1.9,7121
2018-10-26,17783781,1338505238,76.25,76.45,74.5,75.4,-0.1,6911
2018-10-29,9883260,747884213,75.85,76.1,75.35,75.75,0.35,3121
2018-10-30,6119050,464489618,75.8,76.25,75.5,75.95,0.2,2313
2018-10-31,9898224,764366541,76.6,77.55,76.6,77.55,1.6,4310
2018-11-01,6807294,532547148,77.85,78.45,77.55,78.4,0.85,3048
2018-11-02,6722329,527356465,78.4,78.8,78.0,78.65,0.25,3073
2018-11-05,4657750,363054360,78.1,78.25,77.6,78.25,-0.4,2195
2018-11-06,6206482,483978162,78.45,78.5,77.75,78.0,-0.25,2046
2018-11-07,6194750,485644361,78.2,78.55,78.05,78.4,0.4,2594
2018-11-08,10309985,813484895,79.15,79.4,78.5,78.85,0.45,3816
2018-11-09,36848011,2867181167,78.5,78.5,77.65,77.8,-1.05,2930
2018-11-12,6133260,478405835,77.75,78.3,77.55,78.0,0.2,1628
2018-11-13,10711869,819374746,76.15,77.25,75.7,77.1,-0.9,3762
2018-11-14,6293375,486228774,77.25,77.4,77.0,77.35,0.25,1626
2018-11-15,5694368,440513236,77.5,77.65,76.75,77.6,0.25,1247
2018-11-16,8883904,685298620,77.95,77.95,76.85,76.95,-0.65,2331
2018-11-19,7058370,541993834,77.05,77.15,76.6,76.7,-0.25,1672
2018-11-20,8625123,656617939,76.4,76.5,75.75,76.0,-0.7,3297
2018-11-21,15125043,1143349727,75.3,76.05,74.85,76.0,0.0,3739
2018-11-22,5934803,450631578,76.1,76.25,75.6,75.6,-0.4,2029
2018-11-23,4041215,304440003,75.7,75.85,75.05,75.35,-0.25,2078
2018-11-26,6330267,483137195,75.9,76.95,75.75,76.15,0.8,2266
2018-11-27,7625933,576522804,75.95,76.05,75.2,76.05,-0.1,2519
2018-11-28,7549760,577452117,76.15,76.95,75.75,76.9,0.85,2641
2018-11-29,8881587,687927261,77.7,77.95,77.05,77.05,0.15,2527
2018-11-30,4210211,324711501,77.2,77.35,76.75,76.75,-0.3,1670
2018-12-03,13850986,1088593094,77.85,79.0,77.8,78.8,2.05,7537
2018-12-04,4118284,322426648,78.5,78.5,78.1,78.25,-0.55,1960
2018-12-05,9636366,740544550,77.1,77.2,76.65,76.65,-1.6,3602
