date,capacity,turnover,open,high,low,close,change,transaction
2014-01-02,10762073,629994789,58.7,58.75,58.35,58.55,-0.15,2326
2014-01-03,14509506,840196483,58.45,58.45,57.7,57.85,-0.7,3606
2014-01-06,14870810,857370777,57.75,57.95,57.55,57.7,-0.15,3651
2014-01-07,13128332,758131999,57.75,57.9,57.7,57.7,0.0,2582
2014-01-08,7605215,439845285,57.7,57.95,57.7,57.8,0.1,1997
2014-01-09,8571228,493178086,57.65,57.8,57.4,57.55,-0.25,2329
2014-01-10,4741624,272992903,57.5,57.65,57.5,57.55,0.0,1027
2014-01-13,6179869,358200472,58.0,58.2,57.8,57.9,0.35,1649
2014-01-14,4276441,246832293,57.7,57.85,57.6,57.8,-0.1,1753
2014-01-15,11675845,680334063,57.95,58.45,57.95,58.4,0.6,3783
2014-01-16,12771698,749062443,58.5,58.75,58.5,58.55,0.15,2648
2014-01-17,8169584,478201524,58.6,58.7,58.3,58.65,0.1,2188
2014-01-20,5627156,330310001,58.4,58.8,58.4,58.8,0.15,2155
2014-01-21,6963662,408195578,58.75,58.85,58.5,58.55,-0.25,984
2014-01-22,6838219,400293473,58.45,58.65,58.35,58.65,0.1,2088
2014-01-23,6904868,404192804,58.6,58.75,58.35,58.5,-0.15,1588
2014-01-24,10706035,627470683,58.3,58.8,58.3,58.65,0.15,1417
2014-01-27,21325343,1228049744,58.1,58.2,57.45,57.6,-1.05,5733
2014-02-05,57559609,3221379831,56.4,56.4,55.6,55.8,-1.8,14073
2014-02-06,12853797,719872613,55.95,56.2,55.8,56.0,0.2,4307
2014-02-07,16027524,906121727,56.4,56.7,56.3,56.6,0.6,4581
2014-02-10,6020179,341784486,56.9,56.9,56.6,56.6,0.0,2230
2014-02-11,5582078,317077336,56.6,56.95,56.6,56.95,0.35,1312
2014-02-12,18604541,1067688348,57.15,57.55,57.15,57.55,0.6,3367
2014-02-13,8235696,472958789,57.45,57.55,57.35,57.4,-0.15,1407
2014-02-14,22328857,1295999585,57.7,58.2,57.7,57.95,0.55,4400
2014-02-17,15434959,896780422,58.1,58.25,57.95,57.95,0.0,2094
2014-02-18,13088686,759134214,57.95,58.15,57.8,58.15,0.2,2463
2014-02-19,13366688,776753628,58.1,58.2,58.05,58.15,0.0,1499
2014-02-20,13737331,793857746,58.05,58.05,57.6,57.65,-0.5,1890
2014-02-21,17317428,1009724094,58.4,58.45,58.2,58.2,0.55,3615
2014-02-24,7368063,427851584,58.4,58.45,57.8,57.9,-0.3,1848
2014-02-25,8621993,500963922,58.25,58.25,57.95,58.15,0.25,2155
2014-02-26,8953651,522326087,58.0,58.5,57.95,58.4,0.25,1914
2014-02-27,3676458,214534731,58.3,58.45,58.3,58.3,-0.1,906
2014-03-03,8020935,463398140,57.8,58.15,57.5,57.95,-0.35,1774
2014-03-04,6185686,357739238,57.9,58.0,57.7,57.7,-0.25,1815
2014-03-05,6901618,402695756,58.2,58.45,58.2,58.3,0.6,2290
2014-03-06,26226639,1543672801,58.35,59.2,58.35,59.15,0.85,5539
2014-03-07,30394804,1808621977,59.3,59.8,59.3,59.4,0.25,4273
2014-03-10,7930817,468535003,59.3,59.4,58.95,59.05,-0.35,2428
2014-03-11,4967719,294581577,59.25,59.45,59.15,59.35,0.3,939
2014-03-12,2671739,157215101,58.85,59.0,58.75,58.8,-0.55,780
2014-03-13,25692825,1533321519,59.25,59.8,59.25,59.75,0.95,5067
2014-03-14,13449615,796078253,59.15,59.3,59.1,59.15,-0.6,2387
2014-03-17,8983182,529913736,59.15,59.2,58.9,59.05,-0.1,1192
2014-03-18,14863279,882016725,59.4,59.5,59.2,59.4,0.35,1425
2014-03-19,9855394,583117233,59.4,59.45,58.95,59.25,-0.15,1261
2014-03-20,18482909,1079233363,58.7,58.7,58.3,58.5,-0.75,3326
2014-03-21,4142984,242514600,58.65,58.65,58.4,58.5,0.0,1093
2014-03-24,11346270,663112880,58.45,58.65,58.25,58.65,0.15,1385
2014-03-25,4915027,289304520,58.5,59.15,58.5,59.15,0.5,1386
2014-03-26,9980170,594390452,59.45,59.7,59.35,59.7,0.55,1903
2014-03-27,11258157,671284506,59.5,59.85,59.45,59.8,0.1,1447
2014-03-28,20164890,1208961939,59.85,60.1,59.8,59.9,0.1,2586
2014-03-31,17186901,1032021422,60.05,60.15,59.9,60.1,0.2,2088
2014-04-01,28836222,1742191068,60.25,60.6,60.2,60.6,0.5,3203
2014-04-02,19104855,1164181333,60.8,61.15,60.8,60.8,0.2,2138
2014-04-03,12620330,766517855,60.8,60.95,60.65,60.65,-0.15,1334
2014-04-07,11380319,687722237,60.4,60.5,60.3,60.5,-0.15,1114
2014-04-08,14011887,850681912,60.45,60.9,60.45,60.8,0.3,1203
2014-04-09,12067064,736215354,60.8,61.1,60.8,61.0,0.2,1546
2014-04-10,13486974,823824535,61.25,61.3,60.9,61.2,0.2,1379
2014-04-11,15019135,916078435,60.8,61.15,60.8,61.15,-0.05,1216
