date,capacity,turnover,open,high,low,close,change,transaction
2012-01-02,11331613,556761325,49.45,49.6,48.94,49.06,-0.75,3354
2012-01-03,19461977,968039469,49.5,49.95,49.4,49.7,0.64,4056
2012-01-04,23080541,1153014500,49.9,50.15,49.78,50.0,0.3,3962
2012-01-05,21097923,1055241766,50.1,50.15,49.91,50.15,0.15,2806
2012-01-06,28343880,1418225293,50.1,50.25,49.85,50.0,-0.15,2878
2012-01-09,14067965,700803447,49.9,49.95,49.63,49.81,-0.19,1838
2012-01-10,29305530,1480714650,50.2,50.7,50.2,50.7,0.89,5600
2012-01-11,13541792,686837020,50.7,50.8,50.6,50.65,-0.05,2539
2012-01-12,18821732,954956625,50.7,50.85,50.5,50.75,0.1,3455
2012-01-13,39263092,2004901637,51.15,51.25,50.75,50.85,0.1,7166
2012-01-16,28879651,1450782388,51.05,51.1,49.75,50.05,-0.8,4870
2012-01-17,15798299,795641484,50.35,50.6,50.1,50.55,0.5,3024
2012-01-18,12506827,631832184,50.55,50.75,50.3,50.4,-0.15,3124
2012-01-30,34218903,1780542846,51.4,52.3,51.4,51.8,1.4,8214
2012-01-31,20611434,1073539049,52.0,52.4,51.75,51.95,0.15,4022
2012-02-01,24094799,1259526696,52.2,52.5,52.0,52.3,0.35,3708
2012-02-02,20429817,1078026422,52.7,52.95,52.5,52.9,0.6,4181
2012-02-03,35674566,1889356034,52.95,53.05,52.75,53.05,0.15,3992
2012-02-04,35192801,1885936513,53.35,53.8,53.35,53.65,0.6,6489
2012-02-06,18164280,968437031,53.5,53.5,53.15,53.2,-0.45,3632
2012-02-07,19816410,1056101732,53.3,53.6,53.05,53.3,0.1,2525
2012-02-08,39001109,2103272489,53.5,54.45,53.5,54.45,1.15,5878
2012-02-09,36139797,1956532601,54.05,54.4,53.9,54.4,-0.05,3922
2012-02-10,28591539,1549003046,54.25,54.55,53.95,53.95,-0.45,2740
2012-02-13,26861060,1452199378,54.0,54.35,53.75,54.2,0.25,3974
2012-02-14,23406458,1264230154,54.05,54.25,53.6,54.0,-0.2,2127
2012-02-15,41671754,2276165522,54.3,55.0,54.2,54.9,0.9,5673
2012-02-16,22868244,1247877661,54.65,54.85,54.2,54.25,-0.65,2852
2012-02-17,35448758,1943346075,54.8,55.2,54.35,54.75,0.5,3613
2012-02-20,31809117,1739727485,54.8,55.05,54.5,54.7,-0.05,2425
2012-02-21,15255755,828325256,54.5,54.75,54.0,54.5,-0.2,2499
2012-02-22,17125114,937733078,54.3,55.1,54.2,54.85,0.35,3124
2012-02-23,9186327,501209772,54.55,54.75,54.4,54.6,-0.25,1027
2012-02-24,9154405,499477298,54.6,54.85,54.25,54.75,0.15,1304
2012-02-29,28925369,1612404203,55.25,56.0,55.25,56.0,1.25,4957
2012-03-01,20105093,1126509659,55.95,56.2,55.85,55.9,-0.1,2732
2012-03-02,9084860,506340458,56.0,56.1,55.55,55.6,-0.3,1494
2012-03-03,9221806,510988015,55.5,55.55,55.3,55.4,-0.2,1350
2012-03-05,17881179,981912838,55.3,55.35,54.8,54.85,-0.55,2770
2012-03-06,16219461,883459834,54.9,55.05,54.1,54.6,-0.25,2983
2012-03-07,11160667,605163704,54.0,54.5,54.0,54.4,-0.2,1509
2012-03-08,15208959,830033429,54.4,54.9,54.15,54.7,0.3,2019
2012-03-09,12918735,708020242,54.7,55.05,54.45,54.95,0.25,1680
2012-03-12,10019478,547427578,55.0,55.0,54.35,54.35,-0.6,1853
2012-03-13,18507456,1018488014,54.6,55.3,54.6,55.1,0.75,2204
2012-03-14,23963909,1341865203,56.05,56.2,55.75,55.9,0.8,3640
2012-03-15,7323511,407920549,55.75,55.9,55.5,55.65,-0.25,1224
2012-03-16,8511788,472800550,55.5,55.7,55.4,55.4,-0.25,1396
2012-03-19,13386685,737058667,55.45,55.65,54.8,55.25,-0.15,1368
2012-03-20,6615005,363471565,55.35,55.35,54.7,54.85,-0.4,1134
2012-03-21,7561144,415736421,54.85,55.2,54.8,54.85,0.0,1125
2012-03-22,12651661,702269084,54.95,55.75,54.95,55.6,0.75,2142
2012-03-23,5429629,300934713,55.45,55.6,55.3,55.45,-0.15,741
2012-03-26,9786648,535418890,55.0,55.25,54.45,54.55,-0.9,2187
2012-03-27,10106090,555806364,54.8,55.25,54.75,55.25,0.7,1486
2012-03-28,12034547,667844058,55.45,55.85,55.2,55.45,0.2,1798
2012-03-29,10460778,571795790,55.2,55.2,54.35,54.7,-0.75,2530
2012-03-30,8895286,485424630,54.5,54.9,54.2,54.9,0.2,1591
2012-04-02,4412958,241356540,54.9,54.9,54.5,54.7,-0.2,893
2012-04-03,9361989,509304232,54.85,54.9,54.1,54.25,-0.45,1851
2012-04-05,14638663,781567154,53.45,53.8,53.05,53.65,-0.6,2882
2012-04-06,15954729,856067866,53.6,53.85,53.4,53.75,0.1,2175
2012-04-09,18841697,1001375939,53.0,53.5,52.7,53.1,-0.65,2422
2012-04-10,6629891,353297656,53.55,53.6,52.9,53.1,0.0,1393
2012-04-11,12285576,652939304,52.7,53.45,52.7,53.3,0.2,1502
2012-04-12,9449544,502034848,53.05,53.4,52.85,53.35,0.05,1141
2012-04-13,8534831,459862540,53.8,54.05,53.65,53.95,0.6,1702
2012-04-16,5518938,296281102,53.45,53.8,53.45,53.8,-0.15,1055
2012-04-17,21792243,1160267792,53.9,53.9,52.9,52.9,-0.9,2871
2012-04-18,11436286,607456858,53.5,53.5,52.95,53.0,0.1,1335
2012-04-19,9678682,511701826,53.05,53.2,52.5,53.05,0.05,1843
2012-04-20,15623013,820874795,52.9,52.95,52.3,52.35,-0.7,2520
2012-04-23,18551636,966264010,52.3,52.4,51.85,52.3,-0.05,2461
2012-04-24,6802543,355503105,52.25,52.65,52.05,52.4,0.1,1157
2012-04-25,3254707,171342949,52.6,52.8,52.45,52.7,0.3,823
2012-04-26,5918302,310769467,52.8,52.85,52.2,52.3,-0.4,1176
2012-04-27,12943419,678336494,52.6,53.05,52.1,52.2,-0.1,1786
2012-04-30,12293303,637993243,52.1,52.1,51.65,52.05,-0.15,1652
2012-05-02,12132883,642019332,52.25,53.35,52.2,53.35,1.3,2402
2012-05-03,5177566,274835367,53.25,53.25,52.95,53.1,-0.25,1156
2012-05-04,11424808,605745388,52.8,53.3,52.65,53.2,0.1,1363
2012-05-07,21312453,1110096207,52.45,52.45,51.85,52.05,-1.15,4255
2012-05-08,9194107,478409512,52.2,52.25,51.9,52.05,0.0,1509
2012-05-09,22880792,1179702034,51.65,51.85,51.35,51.7,-0.35,2669
2012-05-10,7132826,368954587,51.6,52.0,51.55,51.7,0.0,1324
2012-05-11,29045919,1486045592,51.6,51.6,51.05,51.15,-0.55,3305
2012-05-14,10200944,521119095,51.3,51.3,50.95,51.2,0.05,1571
2012-05-15,21664396,1102135199,50.9,51.2,50.55,51.2,0.0,2185
2012-05-16,32978827,1667294077,51.0,51.1,50.1,50.2,-1.0,4708
2012-05-17,7940204,401579291,50.25,50.85,50.25,50.8,0.6,1754
2012-05-18,37830294,1888228710,50.05,50.25,49.62,49.67,-1.13,6960
