date,capacity,turnover,open,high,low,close,change,transaction
2013-01-02,16487837,896311193,54.0,54.65,53.9,54.4,0.6,3320
2013-01-03,29020585,1592306381,54.9,55.05,54.65,54.85,0.45,5427
2013-01-04,9837846,536506095,54.85,54.85,54.4,54.5,-0.35,2058
2013-01-07,8910880,483016448,54.55,54.55,53.9,54.25,-0.25,2039
2013-01-08,12507357,673988953,54.0,54.2,53.65,53.9,-0.35,1821
2013-01-09,7529070,407184170,53.75,54.3,53.75,54.1,0.2,1450
2013-01-10,13953703,760152853,54.3,54.65,54.15,54.5,0.4,2121
2013-01-11,11837820,646270933,54.7,54.8,54.35,54.45,-0.05,1246
2013-01-14,7282035,393924688,54.0,54.5,53.8,54.5,0.05,1728
2013-01-15,6609521,357735290,54.2,54.45,53.9,54.0,-0.5,1605
2013-01-16,8142003,438232812,54.05,54.05,53.7,53.7,-0.3,1769
2013-01-17,10084179,541562513,53.9,54.2,53.2,53.3,-0.4,2611
2013-01-18,5410035,291355474,53.95,53.95,53.7,53.95,0.65,1210
2013-01-21,4525979,243871866,53.95,54.05,53.55,53.9,-0.05,1007
2013-01-22,10501391,567964392,54.3,54.3,53.7,54.05,0.15,1340
2013-01-23,7266884,392940336,54.2,54.3,53.9,54.0,-0.05,949
2013-01-24,11334440,608084018,53.75,53.9,53.25,53.7,-0.3,2174
2013-01-25,8521237,455161001,53.65,53.7,53.2,53.5,-0.2,2047
2013-01-28,8708776,468347261,53.7,53.95,53.65,53.75,0.25,1422
2013-01-29,21973443,1191890832,53.95,54.5,53.95,54.5,0.75,2958
2013-01-30,21672090,1183403953,54.5,54.75,54.45,54.6,0.1,2765
2013-01-31,12643402,688778596,54.5,54.6,54.3,54.6,0.0,1555
2013-02-01,15057838,824656103,54.7,54.85,54.6,54.8,0.2,2498
2013-02-04,30980908,1709855941,54.85,55.4,54.85,55.2,0.4,4899
2013-02-05,15988259,878945424,54.9,55.1,54.9,55.0,-0.2,2022
2013-02-06,29434091,1629883506,55.2,55.5,55.2,55.4,0.4,3827
2013-02-18,29739642,1655483556,55.5,55.9,55.45,55.6,0.2,2829
2013-02-19,16817277,936044921,55.6,55.75,55.55,55.65,0.05,1926
2013-02-20,21814406,1223538584,55.9,56.2,55.9,56.1,0.45,3536
2013-02-21,9951139,556203668,55.9,56.05,55.7,55.7,-0.4,2162
2013-02-22,9130884,507371869,55.6,55.85,55.35,55.5,-0.2,1907
2013-02-23,6375899,355758998,55.7,55.9,55.65,55.8,0.3,886
2013-02-25,10431887,580781767,55.8,55.8,55.55,55.7,-0.1,921
2013-02-26,6753666,372791222,55.25,55.4,55.05,55.1,-0.6,1683
2013-02-27,4605027,253713018,55.05,55.2,54.95,55.2,0.1,1056
2013-03-01,5730057,317569049,55.35,55.55,55.3,55.4,0.2,1133
2013-03-04,8270213,454255027,55.4,55.45,54.7,54.75,-0.65,2853
2013-03-05,16081480,884932685,54.9,55.35,54.9,55.2,0.45,1337
2013-03-06,4640574,257530596,55.7,55.75,55.2,55.45,0.25,1132
2013-03-07,5956438,330452404,55.2,55.65,55.2,55.4,-0.05,745
2013-03-08,12380659,690617215,55.6,55.9,55.6,55.8,0.4,1795
2013-03-11,12066208,674388210,55.8,56.1,55.6,55.9,0.1,1693
2013-03-12,7442935,415510001,55.9,56.0,55.55,55.55,-0.35,1267
2013-03-13,10205851,568131569,55.6,55.95,55.3,55.65,0.1,1807
2013-03-14,12133109,672910988,55.5,55.6,55.35,55.6,-0.05,1722
2013-03-15,9551506,529341414,55.6,55.7,55.2,55.2,-0.4,1540
2013-03-18,13219182,721312160,55.0,55.0,54.3,54.5,-0.7,4099
2013-03-19,3373726,184302099,54.7,54.75,54.5,54.6,0.1,1324
2013-03-20,8821393,479367586,54.35,54.55,54.15,54.25,-0.35,2180
2013-03-21,4929633,267993890,54.4,54.45,54.25,54.3,0.05,1351
2013-03-22,8202388,445102188,54.2,54.35,54.15,54.15,-0.15,1604
2013-03-25,2648667,144567062,54.75,54.75,54.45,54.55,0.4,988
2013-03-26,1956026,106683407,54.55,54.6,54.45,54.55,0.0,1101
2013-03-27,4540031,248241182,54.6,54.85,54.45,54.7,0.15,1056
2013-03-28,3315710,180675642,54.7,54.75,54.4,54.55,-0.15,1013
2013-03-29,5875788,322903337,54.85,55.15,54.7,55.1,0.55,1463
2013-04-01,3729172,205265726,55.1,55.2,54.95,55.0,-0.1,1015
2013-04-02,4937409,271289272,55.0,55.1,54.7,54.85,-0.15,1448
2013-04-03,2925659,160975955,55.1,55.15,54.9,55.0,0.15,794
2013-04-08,18559790,1002859874,54.45,54.5,53.85,53.85,-1.15,5134
2013-04-09,7681461,413470694,54.0,54.05,53.6,53.7,-0.15,3301
2013-04-10,3118305,167629813,53.75,53.95,53.6,53.8,0.1,1399
2013-04-11,9842030,533757668,53.95,54.4,53.95,54.35,0.55,1971
2013-04-12,2297003,124825799,54.4,54.5,54.2,54.35,0.0,735
2013-04-15,4111521,221986028,54.25,54.35,53.75,53.9,-0.45,1193
2013-04-16,5150419,276686993,53.5,54.0,53.45,54.0,0.1,1462
2013-04-17,4995060,269565940,54.0,54.1,53.85,53.9,-0.1,902
2013-04-18,5605761,301895347,53.55,54.1,53.55,53.85,-0.05,987
2013-04-19,22459000,1237683667,54.25,55.5,54.25,55.45,1.6,5315
2013-04-22,11412387,633681675,55.55,55.65,55.3,55.4,-0.05,2471
2013-04-23,3673886,202446391,55.4,55.4,54.95,55.1,-0.3,1034
2013-04-24,12432393,690770599,55.35,55.75,55.25,55.55,0.45,2721
2013-04-25,11885352,661449706,55.45,55.75,55.4,55.65,0.1,2194
2013-04-26,11113050,622403221,55.8,56.2,55.8,55.85,0.2,2986
2013-04-29,8140413,454738921,55.9,56.0,55.75,55.8,-0.05,1781
2013-04-30,17616881,994043474,56.25,56.55,56.25,56.4,0.6,3793
2013-05-02,15919943,899914379,56.35,56.65,56.35,56.55,0.15,2684
2013-05-03,13217634,751481268,56.85,57.0,56.65,56.65,0.1,2300
2013-05-06,8575588,488875027,57.0,57.15,56.9,56.9,0.25,2033
2013-05-07,14262007,813797499,56.9,57.2,56.8,57.1,0.2,2240
2013-05-08,21793386,1258269249,57.2,58.1,57.2,57.85,0.75,4030
2013-05-09,17797101,1037335180,58.2,58.45,58.15,58.2,0.35,2954
2013-05-10,9240965,535856639,58.1,58.15,57.85,57.9,-0.3,1698
2013-05-13,6700177,387395932,57.9,58.0,57.6,57.75,-0.15,1088
2013-05-14,10934122,634102226,58.0,58.25,57.75,57.9,0.15,1790
2013-05-15,11719865,678723820,58.1,58.1,57.65,57.95,0.05,2143
2013-05-16,32187846,1888455526,58.5,58.9,58.4,58.7,0.75,4533
2013-05-17,8651843,506338140,58.6,58.7,58.4,58.4,-0.3,1880
2013-05-20,7993319,466046373,58.3,58.5,58.1,58.3,-0.1,1449
2013-05-21,6989772,408198029,58.35,58.7,58.15,58.3,0.0,1187
2013-05-22,7429351,433863893,58.65,58.7,58.2,58.25,-0.05,1176
2013-05-23,14865840,854334512,57.9,58.0,57.0,57.0,-1.25,3514
2013-05-24,6949631,395777002,57.0,57.2,56.6,56.85,-0.15,1688
2013-05-27,3285598,187924976,56.8,57.35,56.8,57.35,0.5,1116
2013-05-28,2342716,134258644,57.4,57.45,57.15,57.15,-0.2,754
2013-05-29,7988608,460199379,57.35,57.8,57.35,57.65,0.5,1178
2013-05-30,8823666,503172389,57.4,57.45,56.85,56.95,-0.7,1746
2013-05-31,9240119,528579918,57.5,57.7,56.8,56.95,0.0,1733
2013-06-03,6538988,369199492,56.45,56.75,56.25,56.7,-0.25,1775
2013-06-04,4243204,239911728,56.7,56.8,56.35,56.6,-0.1,965
2013-06-05,3459608,195736906,56.55,56.75,56.35,56.6,0.0,829
2013-06-06,15077276,843973096,56.2,56.3,55.75,55.9,-0.7,3594
2013-06-07,9058196,507189027,55.95,56.15,55.9,56.05,0.15,1488
2013-06-10,3505343,198281891,56.55,56.7,56.4,56.5,0.45,1192
2013-06-11,4689065,264735617,56.55,56.65,56.25,56.35,-0.15,997
2013-06-13,33023834,1823370059,55.9,55.9,55.0,55.0,-1.35,6985
2013-06-14,18099232,994221942,55.15,55.15,54.7,54.8,-0.2,3768
2013-06-17,5347377,294417027,54.85,55.15,54.8,55.15,0.35,1799
2013-06-18,8771556,483236999,55.15,55.4,54.85,55.4,0.25,1967
2013-06-19,6076740,336207455,55.5,55.5,55.15,55.3,-0.1,1057
2013-06-20,25487892,1389253031,55.0,55.0,54.2,54.25,-1.05,6014
2013-06-21,34639623,1853783057,54.1,54.1,53.25,53.6,-0.65,8449
2013-06-24,21260360,1132613599,53.4,53.5,53.1,53.4,-0.2,5098
2013-06-25,19437447,1034612098,53.3,53.7,52.95,53.0,-0.4,4591
2013-06-26,9915925,531376780,53.6,53.8,53.3,53.7,0.7,3696
2013-06-27,22275200,1205472258,54.05,54.35,53.9,54.35,0.65,3704
2013-06-28,13714432,751100239,54.4,55.1,54.3,55.1,0.75,3458
2013-07-01,13788335,763383444,54.8,55.7,54.8,55.6,0.5,3037
2013-07-02,4672336,259565154,55.65,55.75,55.45,55.5,-0.1,1354
2013-07-03,7004292,385469799,55.2,55.4,54.85,54.85,-0.65,1985
2013-07-04,4877072,268102694,54.9,55.15,54.8,54.95,0.1,1002
2013-07-05,17674559,986410395,55.25,56.05,55.2,56.05,1.1,3536
2013-07-08,8666116,477968424,56.05,56.05,54.95,55.0,-1.05,2691
2013-07-09,4074161,225977952,55.0,55.7,54.95,55.65,0.65,1513
2013-07-10,9107840,510560539,55.75,56.3,55.65,55.8,0.15,2369
2013-07-11,30308916,1728349862,56.75,57.4,56.7,57.2,1.4,6127
2013-07-12,12910000,739250700,57.2,57.4,57.1,57.35,0.15,2398
2013-07-15,14187888,815949882,57.35,57.7,57.1,57.5,0.15,2434
2013-07-16,9554028,549362591,57.5,57.6,57.35,57.5,0.0,1724
2013-07-17,12990199,747619681,57.4,57.75,57.35,57.6,0.1,2110
2013-07-18,12640447,723858943,57.6,57.65,57.1,57.2,-0.4,2128
2013-07-19,24692954,1385796832,56.9,56.9,55.75,55.95,-1.25,5173
2013-07-22,5257632,295654456,56.15,56.4,56.1,56.15,0.2,1382
2013-07-23,8971869,510606898,56.5,57.2,56.5,57.05,0.9,2838
2013-07-24,4960850,282334850,56.8,57.15,56.8,56.9,-0.15,1618
2013-07-25,4111707,234028765,56.8,57.15,56.5,57.0,0.1,1241
2013-07-26,4896127,279404379,57.0,57.4,56.7,56.9,-0.1,1011
2013-07-29,5925434,334904486,56.7,56.85,56.25,56.5,-0.4,1497
2013-07-30,10121624,576372668,56.75,57.15,56.5,56.95,0.45,1249
2013-07-31,4383656,248571828,56.95,56.95,56.55,56.6,-0.35,1140
2013-08-01,7468236,420330725,56.55,56.65,56.05,56.2,-0.4,1864
2013-08-02,6840267,387353274,56.6,57.0,56.35,56.55,0.35,1375
2013-08-05,2877732,162791874,56.5,56.8,56.25,56.7,0.15,1074
2013-08-06,20739753,1158970776,56.4,56.4,55.75,55.9,-0.8,4604
2013-08-07,21061146,1163901589,55.55,55.55,55.1,55.1,-0.8,5564
2013-08-08,25089681,1379035959,55.0,55.1,54.8,54.9,-0.2,5058
2013-08-09,25862360,1417930574,54.9,55.1,54.65,54.85,-0.05,4143
2013-08-12,12024912,659841614,55.0,55.05,54.7,55.0,0.15,2689
2013-08-13,7627486,422919658,55.35,55.55,55.3,55.55,0.55,2120
2013-08-14,11120302,614619593,55.55,55.55,55.1,55.4,-0.15,2030
2013-08-15,17432561,954337876,54.85,55.05,54.5,55.0,-0.4,4363
2013-08-16,17785551,978460432,54.65,55.45,54.65,55.25,0.25,2438
2013-08-19,8438620,464099757,55.05,55.1,54.85,55.1,-0.15,1631
2013-08-20,19856498,1086946503,54.85,55.15,54.5,54.6,-0.5,4055
2013-08-22,30612447,1655599727,54.3,54.35,53.85,54.15,-0.45,7481
2013-08-23,16798781,920166255,54.5,55.0,54.5,54.85,0.7,3612
2013-08-26,6650143,365856474,55.0,55.2,54.75,55.1,0.25,1792
2013-08-27,7339895,402257761,55.0,55.0,54.6,54.6,-0.5,1770
2013-08-28,9583954,522647708,54.35,54.75,54.3,54.75,0.15,3205
2013-08-29,12791404,708453609,54.85,55.6,54.85,55.5,0.75,3687
2013-08-30,11435856,637169530,55.6,55.85,55.4,55.85,0.35,2375
2013-09-02,20804919,1168126905,55.95,56.4,55.9,56.3,0.45,4386
2013-09-03,20556239,1163846548,56.6,56.7,56.4,56.65,0.35,3910
2013-09-04,10480444,591077767,56.5,56.6,56.25,56.55,-0.1,1958
2013-09-05,21411913,1215478542,56.7,56.95,56.55,56.9,0.35,3594
2013-09-06,22393275,1275634725,56.85,57.05,56.85,57.0,0.1,3240
2013-09-09,17058581,973707355,57.0,57.3,56.7,57.2,0.2,3490
2013-09-10,23422376,1344057399,57.35,57.6,57.15,57.35,0.15,3480
2013-09-11,20577058,1180087008,57.5,57.5,57.1,57.5,0.15,3196
2013-09-12,12988288,747456799,57.4,57.7,57.3,57.55,0.05,2609
2013-09-13,5616027,321689664,57.5,57.6,57.1,57.1,-0.45,1447
2013-09-14,6236106,356165524,57.15,57.25,57.05,57.1,0.0,1068
2013-09-16,14816216,856213071,57.45,57.95,57.45,57.8,0.7,3739
2013-09-17,6240628,359786428,57.5,57.75,57.5,57.75,-0.05,1343
2013-09-18,14816839,855895353,57.9,58.0,57.55,57.55,-0.2,1585
2013-09-23,10272430,594937074,57.55,58.15,57.5,58.0,0.45,2144
2013-09-24,10109391,585958178,58.0,58.1,57.75,58.05,0.05,1246
2013-09-25,4177369,241141358,58.0,58.0,57.6,57.8,-0.25,1038
2013-09-26,4355788,249816271,57.7,57.8,57.2,57.25,-0.55,1653
2013-09-27,4768533,273846827,57.4,57.55,57.35,57.4,0.15,764
2013-09-30,16694045,952581260,57.0,57.3,56.75,57.15,-0.25,1620
2013-10-01,15431775,882515976,57.0,57.3,57.0,57.15,0.0,1054
2013-10-02,11303711,648114852,57.5,57.5,57.25,57.35,0.2,644
2013-10-03,23774643,1387027242,57.5,58.8,57.45,58.55,1.2,4248
2013-10-04,16689318,974553372,58.5,58.55,58.25,58.45,-0.1,2365
2013-10-07,4869744,282120552,58.15,58.15,57.85,57.9,-0.55,1346
2013-10-08,9440826,549339920,57.85,58.45,57.8,58.35,0.45,1454
2013-10-09,6006272,349660364,58.1,58.35,58.0,58.2,-0.15,1473
2013-10-11,9045228,530474251,58.85,58.95,58.4,58.45,0.25,2197
2013-10-14,6623978,385079299,58.4,58.4,57.95,58.0,-0.45,1463
2013-10-15,8042634,470229772,58.45,58.6,58.3,58.5,0.5,2213
2013-10-16,7029103,410205350,58.45,58.6,58.25,58.25,-0.25,1844
2013-10-17,5062547,296652655,58.65,58.85,58.45,58.55,0.3,1332
