date,capacity,turnover,open,high,low,close,change,transaction
2017-01-03,2331431,167301490,71.7,71.9,71.5,71.9,0.1,451
2017-01-04,4284195,308177877,72.0,72.1,71.75,71.85,-0.05,614
2017-01-05,4573600,330422521,71.85,72.5,71.8,72.5,0.65,1236
2017-01-06,3752998,272387663,72.45,72.75,72.45,72.65,0.15,980
2017-01-09,5038290,366344482,72.75,72.95,72.3,72.45,-0.2,1057
2017-01-10,1857853,134624612,72.45,72.6,72.4,72.4,-0.05,422
2017-01-11,1898053,137621077,72.8,72.85,72.4,72.4,0.0,589
2017-01-12,4857459,354847738,72.6,73.3,72.6,73.15,0.75,1399
2017-01-13,3909860,284091239,72.8,72.8,72.6,72.6,-0.55,835
2017-01-16,2418439,174145772,72.4,72.4,71.8,72.0,-0.6,881
2017-01-17,1572741,113686311,72.0,72.4,72.0,72.3,0.3,494
2017-01-18,3837818,276891011,72.2,72.2,72.05,72.15,-0.15,679
2017-01-19,4065559,292416114,71.85,72.1,71.6,71.95,-0.2,665
2017-01-20,2422174,174730158,71.95,72.25,71.95,72.15,0.2,1433
2017-01-23,5965089,434672631,72.55,73.0,72.55,72.75,0.6,1534
2017-01-24,4575104,334830127,73.0,73.3,72.9,73.3,0.55,1858
2017-02-02,6999147,511783003,73.5,73.65,72.75,72.9,-0.4,1808
2017-02-03,2809194,204726612,72.95,73.15,72.65,72.85,-0.05,1203
2017-02-06,2947246,215765564,73.0,73.4,72.95,73.25,0.4,1195
2017-02-07,4305232,315681749,73.1,73.45,73.1,73.3,0.05,1897
2017-02-08,4433939,317740281,71.9,71.9,71.35,71.75,0.0,2095
2017-02-09,3548420,255343191,71.75,72.2,71.65,72.0,0.25,857
2017-02-10,4869787,353758401,72.1,72.95,72.1,72.8,0.8,1148
2017-02-13,3330147,243215631,72.8,73.1,72.8,72.95,0.15,924
2017-02-14,6071668,445062006,73.4,73.5,73.1,73.2,0.25,1379
2017-02-15,9407004,692431969,73.3,73.9,73.2,73.9,0.7,2298
2017-02-16,5466631,402438648,74.0,74.2,73.35,73.45,-0.45,1713
2017-02-17,5192773,381393148,73.65,73.7,73.35,73.35,-0.1,1184
2017-02-18,3227803,237095308,73.3,73.55,73.2,73.5,0.15,1190
2017-02-20,2802606,205434206,73.55,73.65,73.1,73.1,-0.4,1401
2017-02-21,3337389,244318096,73.2,73.4,73.05,73.25,0.15,527
2017-02-22,2938397,215548987,73.6,73.7,73.15,73.3,0.05,484
2017-02-23,2332442,170965930,73.25,73.55,73.1,73.1,-0.2,571
2017-02-24,1844790,134857020,73.05,73.3,72.85,73.15,0.05,615
2017-03-01,3107350,225726160,73.1,73.1,72.35,72.35,-0.8,1270
2017-03-02,7057872,512240160,72.95,73.25,72.25,72.55,0.2,1735
2017-03-03,4410226,318135638,72.3,72.35,72.0,72.1,-0.45,1751
2017-03-06,2177363,157105795,72.05,72.25,72.0,72.15,0.05,882
2017-03-07,2027296,146868581,72.25,72.6,72.25,72.45,0.3,833
2017-03-08,2182147,158530106,72.65,72.85,72.45,72.85,0.4,842
2017-03-09,3381395,243825130,72.6,72.6,71.95,72.05,-0.8,1599
2017-03-10,5423285,389031634,71.95,72.05,71.55,72.0,-0.05,1558
2017-03-13,2515382,182074433,72.15,72.5,72.15,72.5,0.5,779
2017-03-14,3948353,287952737,72.6,73.1,72.6,73.0,0.5,1207
2017-03-15,3490372,254234206,72.8,73.0,72.6,72.85,-0.15,1293
2017-03-16,7545149,555972274,73.3,73.85,73.3,73.8,0.95,2754
2017-03-17,5265875,389526850,73.85,74.1,73.75,74.0,0.2,2375
2017-03-20,5073186,375539714,73.95,74.15,73.85,73.95,-0.05,1028
2017-03-21,8511270,634988551,74.3,74.9,74.3,74.9,0.95,1843
2017-03-22,4939975,366163705,74.25,74.25,74.0,74.2,-0.7,1268
2017-03-23,4105955,305444615,74.6,74.65,74.15,74.35,0.15,687
2017-03-24,3308120,245456942,74.35,74.4,74.1,74.25,-0.1,548
2017-03-27,2474340,183601806,74.0,74.4,73.85,74.2,-0.05,582
2017-03-28,5565534,413437983,74.55,74.6,73.95,74.25,0.05,1726
2017-03-29,2464193,182878025,74.45,74.5,74.0,74.0,-0.25,551
2017-03-30,2181458,161500292,74.0,74.25,73.9,73.9,-0.1,424
2017-03-31,2008887,148377572,73.95,74.1,73.7,73.7,-0.2,614
2017-04-05,3594368,267911149,73.95,74.8,73.95,74.65,0.95,1177
2017-04-06,2811150,209240706,74.8,74.8,74.3,74.4,-0.25,880
2017-04-07,1889165,139505932,74.3,74.3,73.4,74.1,-0.3,887
2017-04-10,1060789,78625981,74.1,74.25,74.0,74.2,0.1,394
2017-04-11,1266959,93779536,74.1,74.4,73.75,73.9,-0.3,647
2017-04-12,1940147,143460184,73.9,74.1,73.65,74.05,0.15,802
2017-04-13,6004675,446309468,73.9,74.45,73.9,74.4,0.35,877
2017-04-14,2674280,196994842,73.9,73.9,73.5,73.55,-0.85,1263
2017-04-17,5339490,393147347,73.55,73.8,73.35,73.6,0.05,1008
2017-04-18,4099924,302371805,73.85,74.0,73.5,73.6,0.0,671
2017-04-19,9185446,669532623,73.1,73.25,72.65,72.8,-0.8,3402
2017-04-20,3142256,228422188,72.55,72.9,72.5,72.8,0.0,1420
2017-04-21,3247213,238184129,73.25,73.5,73.1,73.5,0.7,1035
2017-04-24,4309464,317407130,73.9,73.95,73.45,73.65,0.15,896
2017-04-25,5698061,422598229,73.85,74.4,73.7,74.35,0.7,1525
2017-04-26,4117953,307089866,74.7,74.7,74.4,74.55,0.2,953
2017-04-27,3685290,273944187,74.35,74.5,74.15,74.5,-0.05,734
2017-04-28,4423100,329448991,74.5,74.6,74.3,74.55,0.05,938
2017-05-02,15728364,1183549491,75.0,75.4,75.0,75.2,0.65,2827
2017-05-03,4711953,355729364,75.3,75.65,75.3,75.55,0.35,1708
2017-05-04,3996825,301811102,75.55,75.65,75.35,75.65,0.1,1145
2017-05-05,5287815,397880732,75.45,75.45,75.1,75.15,-0.5,1320
2017-05-08,4083374,308091358,75.55,75.7,75.25,75.7,0.55,1054
2017-05-09,4190236,319313121,75.7,76.5,75.7,75.95,0.25,1120
2017-05-10,1763035,134244947,76.15,76.35,76.0,76.25,0.3,638
2017-05-11,2018313,154148338,76.1,76.5,76.0,76.5,0.25,736
2017-05-12,2810989,214492626,76.25,76.5,76.15,76.3,-0.2,539
2017-05-15,1285720,98284746,76.3,76.55,76.2,76.5,0.2,539
2017-05-16,1598332,122092507,76.5,76.6,76.25,76.5,0.0,803
2017-05-17,1331528,101438562,76.3,76.4,76.05,76.3,-0.2,476
2017-05-18,4271928,323392357,75.65,75.9,75.3,75.9,-0.4,943
2017-05-19,1162847,88166922,75.65,75.9,75.65,75.85,-0.05,297
2017-05-22,2576137,195790949,75.95,76.15,75.75,76.05,0.2,761
2017-05-23,3844351,292887587,76.05,76.45,76.0,76.35,0.3,568
2017-05-24,2886268,220350338,76.35,76.45,76.25,76.3,-0.05,645
2017-05-25,4681977,360095129,76.7,77.0,76.45,77.0,0.7,1568
2017-05-26,4018329,308975447,77.0,77.15,76.75,76.95,-0.05,598
2017-05-31,2701301,207172841,76.95,77.5,76.4,76.5,-0.45,765
2017-06-01,2221692,170334430,76.5,76.9,76.5,76.9,0.4,782
2017-06-02,3540934,273287776,77.3,77.3,77.05,77.2,0.3,733
2017-06-03,2052295,158709516,77.25,77.4,77.25,77.4,0.2,541
2017-06-05,3281752,254540406,77.35,78.0,77.25,78.0,0.6,849
2017-06-06,1203007,93684346,77.95,77.95,77.7,77.95,-0.05,618
2017-06-07,1844790,143852570,77.9,78.1,77.7,77.95,0.0,485
2017-06-08,1886861,147421476,77.95,78.25,77.8,78.25,0.3,489
2017-06-09,3010414,235254296,78.05,78.35,77.95,78.0,-0.25,1261
2017-06-12,3300815,254991488,77.15,77.5,77.05,77.15,-0.85,1008
2017-06-13,1615980,124661164,77.15,77.3,77.0,77.25,0.1,437
2017-06-14,3380592,259920485,77.4,77.4,76.5,76.85,-0.4,775
2017-06-15,1507476,115742992,76.8,76.9,76.6,76.9,0.05,473
2017-06-16,4233093,327234575,76.9,77.7,76.85,77.7,0.8,711
2017-06-19,5144835,403115770,77.7,78.55,77.7,78.55,0.85,1459
2017-06-20,4046834,320905688,78.6,79.65,78.6,79.45,0.9,1306
2017-06-21,13612954,1084759757,79.2,79.9,78.85,79.55,0.1,2001
2017-06-22,6112800,487656013,79.6,79.85,79.55,79.75,0.2,1120
2017-06-23,8517089,679313575,79.75,80.05,79.65,79.7,-0.05,3426
2017-06-26,14254481,1152368187,79.8,81.5,79.8,81.4,1.7,2367
2017-06-27,3026202,245706817,81.4,81.5,81.0,81.3,-0.1,1145
2017-06-28,6286912,506227717,80.9,81.05,80.3,80.55,-0.75,2321
2017-06-29,1427255,115380165,81.0,81.05,80.5,80.65,0.1,513
2017-06-30,3070653,245991027,80.1,80.4,79.8,80.4,-0.25,854
2017-07-03,1551046,124698923,80.4,80.6,80.2,80.45,0.05,619
2017-07-04,1237199,99372295,80.45,80.6,80.0,80.0,-0.45,522
2017-07-05,2274312,182530450,80.1,80.75,79.75,80.75,0.75,765
2017-07-06,2492419,200268697,80.75,80.75,80.2,80.4,-0.35,715
2017-07-07,3569810,285400443,80.25,80.25,79.8,79.95,-0.45,1199
2017-07-10,3549929,284770751,80.0,80.45,80.0,80.35,0.4,1183
2017-07-11,4138771,336245539,80.7,81.55,80.55,81.55,1.2,1699
2017-07-12,3948227,322132882,81.5,81.8,81.3,81.55,0.0,1168
2017-07-13,3992624,328058991,81.95,82.4,81.75,82.2,0.65,1055
2017-07-14,2281634,187062793,82.0,82.15,81.8,82.05,-0.15,903
2017-07-17,2687643,221106322,82.5,82.55,82.0,82.2,0.15,916
